Date,Train-Test,Board,Board_Type,Wheel_Diameter,Wheel_Durometer,City_State,Route,Distance,Calories,Avg_HR,Max_HR,Avg_Speed,Max_Speed,Total_Ascent,Total_Descent,Min_Temp,Number_of_Laps,Min_Elevation,Max_Elevation,Temp,Relative_Humidity,Wind_Speed
3/13/21 14:29,Train,Loaded Icarus,Drop Through,80,80,"Ripon, WI",radio_road_to_K,5.17,460,131,152,6.1,13.9,167,184,66.2,2,889,974,39.92,46,10.3147586
3/23/21 8:51,Train,Loaded Icarus,Drop Through,80,80,"Ripon, WI",radio_road_to_K,4.26,319,120,142,6,13.1,108,138,57.2,1,858,932,46.04,86,0
4/10/21 13:08,Train,Gbomb X24,Platform,80,80,"Ripon, WI",radio_road_to_K,4.57,268,121,142,8.3,14.8,115,128,57.2,1,971,1054,51.08,86,8.077823
4/11/21 15:16,Train,Gbomb X24,Platform,80,80,"Ripon, WI",radio_road_to_K,4.66,260,126,144,9.5,14.9,102,131,64.4,1,940,1016,50,93,8.077823
4/11/21 15:50,Train,Gbomb X24,Platform,80,80,"Ripon, WI",radio_road_to_K,4.65,328,136,167,8.4,15.8,105,128,66.2,1,953,1026,50,93,8.077823
4/13/21 15:11,Train,Gbomb X24,Platform,80,80,"Ripon, WI",ripon_in_town,7.16,483,116,145,5.6,15.4,174,184,46.4,2,972,1057,42.98,60,11.4332264
4/15/21 14:15,Train,Gbomb X24,Platform,80,80,"Ripon, WI",radio_road_to_carter,8.69,627,130,155,7.3,13,289,305,50,2,949,1048,42.98,65,12.7381055
4/16/21 16:10,Train,Gbomb X24,Platform,80,80,"Ripon, WI",ripon_in_town,3.65,292,113,139,4.9,12.3,75,95,64.4,1,1028,1073,46.94,61,5.8408874
4/18/21 15:21,Train,Gbomb X24,Platform,80,80,"Ripon, WI",radio_road_to_K,4.64,265,124,139,8.7,15.5,157,128,68,1,977,1054,51.98,54,4.7224196
4/20/21 15:56,Train,Gbomb X24,Platform,80,80,"Ripon, WI",radio_road_to_carter,7.13,450,129,156,7.7,14.4,194,213,53.6,2,939,1062,39.02,39,8.077823
4/22/21 11:38,Train,Gbomb X24,Platform,80,80,"Ripon, WI",ripon_in_town,3.38,201,112,136,7,12.8,105,108,66.2,1,968,1012,30.02,60,3.3554034
4/24/21 15:27,Train,Gbomb X24,Platform,80,80,"Ripon, WI",radio_road_to_carter,8.67,492,120,143,8,14.2,404,446,66.2,2,927,1052,55.04,62,8.077823
4/25/21 13:30,Train,Gbomb X24,Platform,80,80,"Ripon, WI",radio_road_to_carter,8.56,468,118,150,7.9,14,217,210,59,2,970,1064,37.04,50,9.1962908
4/26/21 16:19,Train,Gbomb X24,Platform,80,80,"Ripon, WI",ripon_in_town,3.69,246,115,140,6.2,11.6,95,95,57.2,1,1035,1072,51.08,54,13.8565733
4/27/21 8:37,Train,Gbomb X24,Platform,80,80,"Ripon, WI",radio_road_to_carter,6.35,418,127,157,7.9,13.5,161,135,57.2,2,966,1047,46.04,79,10.3147586
4/27/21 9:31,Train,Gbomb X24,Platform,80,80,"Ripon, WI",radio_road_to_carter,1.81,131,130,146,8,14.1,20,85,59,1,957,1039,44.96,80,12.7381055
